Customer_ID;First_Name;Last_Name;Email;Phone;City;Postal_Code;Address;Customer_Type;Region_ID
1;Antoni; Machoń;unowotny@gmail.com;574 440 883;Nowa Sól;67-100;ul. Zbożowa 95;New;4
2;Malwina;Dziadkowiec;tadeuszdawiec@ppuh.org;+48 668 594 548;Przemyśl;37-700;ulica Szpitalna 97;Subscriber;9
3;Karol;Sobiło;ysajda@o2.pl;+48 721 450 916;Łomża;18-400;ulica Żeglarska 49;Subscriber;10
4;Igor;Swiątek;ppiejko@interia.pl;+48 508 354 804;Zamość;22-400;ulica Osiedlowa 89/42;New;3
5;Bruno;Mirgos;uszyca@yahoo.com;506 607 623;Częstochowa;42-207;pl. Modrzewiowa 806;Subscriber;12
6;Fryderyk; Jażdżyk;kossakkrzysztof@o2.pl;32 680 85 06;Ełk;19-300;pl. Browarna 73;New;14
7;Błażej;Zaborek;gletkiewicz@kossak.com;798 207 601;Włocławek;87-800;ul. Sowia 742;Subscriber;2
8;Bianka;Matla;korneliacitko@hotmail.com;790 665 546;Toruń;87-100;plac Andersa 478;New;2
9;Kamila;Deryło;ceterasebastian@spoldzielnia.pl;576 675 183;Suwałki;16-402;plac Brzechwy 795;New;10
10;Alan;Miechowicz;natan42@grupa.net;+48 603 750 111;Jelenia Góra;58-500;ul. Poziomkowa 99/87;New;1
11;Aniela;Wydmuch;amatura@maslankiewicz.pl;669 082 255;Warszawa;00-001;al. Mazowiecka 17;Subscriber;7
12;Alex;Rochowiak;pkluj@jerzyk-borkiewicz.net;738 537 558;Łomża;18-400;;Subscriber;10
13;Kazimierz;Smektała;szczechowiczadrian@yahoo.com;+48 502 290 780;Gliwice;44-100;aleja Zakątek 12;New;12
14;Patryk;Solarek;stanislaw69@o2.pl;721 561 234;Kalisz;62-800;ul. Częstochowska 50/29;Subscriber;15
15;Łukasz;Wereda;jan72@fundacja.com;+48 691 027 609;Włocławek;87-800;ul. Niecała 926;New;2
16;Damian;Szklarek;blazejjanoszek@onet.pl;533 306 372;Płock;09-400;ul. Gołębia 42/42;New;7
17;Blanka;Pyszczek;fdamek@hotmail.com;537 333 726;Kielce;25-001;plac Norwida 723;Subscriber;13
18;Kacper;Bienia;prakus@wincenciak-przybycien.com;32 744 35 25;Gorzów Wielkopolski;66-400;ul. Jadwigi 778;Subscriber;4
19;Julian;Olbrych;smolkaelzbieta@sarota.pl;790 205 756;Sopot;81-701;ulica Kamienna 23/29;Subscriber;11
20;Marika;Parda;dabaljulianna@ppuh.pl;+48 508 153 877;Kraków;30-001;aleja Strażacka 904;Subscriber;6
21;Mariusz;Sacharczuk;damian38@martynowicz.com;737 120 248;Częstochowa;42-207;al. Wyzwolenia 78;Subscriber;12
22;Melania;Smoczyk;hubert16@interia.pl;780 967 410;Elbląg;82-300;pl. Kościelna 05/22;New;14
23;Aniela;Goliasz;oskar51@slomiany.pl;+48 516 796 475;Starachowice;27-200;plac Maczka 605;New;13
24;Liwia;Kazior;mkrywult@stowarzyszenie.pl;+48 728 957 565;Pabianice;95-050;pl. Szmaragdowa 77;Subscriber;5
25;Przemysław;Chowaniak;elokietek@fundacja.com;+48 692 192 284;Zielona Góra;65-001;ul. Jana Pawła II 31/05;New;4
26;Adrian;Powierża;ernestlangiewicz@fpuh.pl;515 512 877;Nysa;48-267;ulica Piękna 49/03;Subscriber;8
27;Apolonia;Fronczek;ernest46@spoldzielnia.pl;787 586 768;Przemyśl;37-700;ulica Glówna 487;Subscriber;9
28;Rafał;Smoter;markojerzy@o2.pl;690 730 878;Tarnów;33-100;pl. Ptasia 491;New;6
29;Blanka;Czura;wiktorwydrych@gabinety.com;22 905 99 72;Gliwice;44-100;aleja Daszyńskiego 168;New;12
30;Aurelia;Futyma;krzykprzemyslaw@fundacja.org;578 533 923;Zamość;22-400;ulica Wojciecha 295;New;3
31;Albert;Sztuczka;hwojcikiewicz@mirgos.pl;+48 725 841 424;Warszawa;00-001;aleja Piaskowa 123;Subscriber;7
32;Gaja;Tokaj;lelitoanna-maria@spoldzielnia.pl;577 168 774;Legnica;59-220;pl. Poznańska 95/51;New;1
33;Robert;Łyskawa;cwlizlo@makulec.com;+48 799 853 542;Opole;45-001;plac Daleka 02/33;New;8
34;Kaja;Gierek;kalina85@hotmail.com;881 834 797;Nysa;48-267;ulica Podwale 48;New;8
35;Patryk;Jezior;gabriel44@interia.pl;+48 783 989 528;Sopot;81-701;ul. Krzywa 92/48;New;11
36;Wojciech;Halama;zbylutolga@szmajda.pl;+48 22 646 47 38;Gorzów Wielkopolski;66-400;aleja Miarki 145;Subscriber;4
37;Roksana;Herda;jerzygorgol@gmail.com;888 559 009;Elbląg;82-300;pl. Lipowa 24/05;Subscriber;14
38;Nicole;Rajchel;hmaron@hotmail.com;+48 734 382 650;Łódź;90-001;pl. Jarzębinowa 53;Subscriber;5
39;Nicole;Drej;soliwodamariusz@spoldzielnia.pl;+48 792 691 485;Nysa;48-267;ulica Żwirki i Wigury 59/59;New;8
40;Witold;Cymer;pajdakwojciech@fundacja.com;+48 601 721 794;Chełm;22-100;plac Borówkowa 487;Subscriber;3
41;Tomasz;Szymała;damianmich@interia.pl;693 315 899;Zielona Góra;65-001;pl. Wrzosowa 97;Subscriber;4
42;Tymoteusz;Chowaniak;adriannaziola@fundacja.com;793 276 724;Kraków;30-001;ul. Dąbrowskiej 558;Subscriber;6
43;Ernest;Parzonka;pzebik@sobisz.pl;+48 538 142 922;Białystok;15-001;aleja Kraszewskiego 61;Subscriber;10
44;Nela;Giec;tarmatys@fpuh.pl;+48 665 225 956;Płock;09-400;ulica Zielna 00;Subscriber;7
45;Ksawery;Gzyl;ewapyrkosz@o2.pl;+48 797 530 559;Warszawa;00-001;aleja Wiązowa 25;New;7
46;Klara;Kuśnierek;czulakkaja@onet.pl;+48 699 064 076;Stalowa Wola;37-403;plac Ściegiennego 68/60;Subscriber;9
47;Ryszard;Maciuszek;laryszksawery@grupa.pl;798 153 272;Białystok;15-001;ul. Lisia 70/35;Subscriber;10
48;Nicole;Dąbroś;epilich@interia.pl;+48 796 907 886;Białystok;15-001;ul. Narutowicza 12;Subscriber;10
49;Maurycy;Mikoda;jzacharek@yahoo.com;+48 788 669 697;Poznań;60-001;al. Krasickiego 153;Subscriber;15
50;Maurycy;Kurant;urszulakosznik@gabinety.org;+48 518 167 488;Gliwice;44-100;aleja Szarych Szeregów 94/98;Subscriber;12
51;Gabriel;Kulczak;roksanarazniak@grupa.com;505 601 488;Chełm;22-100;ulica Południowa 55;Subscriber;3
52;Fabian;Kolman;palegaangelika@stowarzyszenie.pl;692 792 052;Piotrków Trybunalski;97-300;pl. Żabia 03/46;New;5
53;Melania;Dolega;nprystupa@jargilo-gorgol.pl;733 721 734;Legnica;59-220;ul. Willowa 40/16;Subscriber;1
54;Adrian;Sobuś;vkielbus@szymanczak.pl;+48 786 019 315;Kalisz;62-800;aleja Tęczowa 92/33;New;15
55;Aleksander;Kochman;foremniakkonstanty@kajak.com;+48 512 412 485;Włocławek;87-800;pl. Wąska 817;Subscriber;2
56;Sara;Szajna;bojdodamian@spoldzielnia.pl;506 548 310;Opole;45-001;pl. Przemysłowa 787;New;8
57;Tadeusz;Kunysz;pryszczroksana@spoldzielnia.com;886 856 821;Kraków;30-001;plac Wiślana 991;New;6
58;Liwia;Wośko;bogdalkalina@yahoo.com;+48 738 506 519;Rzeszów;35-001;al. Młynarska 641;Subscriber;9
59;Tomasz;Flaga;murataleks@yahoo.com;506 564 831;Jelenia Góra;58-500;pl. Klasztorna 423;Subscriber;1
60;Jan;Nestorowicz;tomaszjajko@spoldzielnia.pl;+48 780 899 936;Opole;45-001;ulica Lwowska 300;Subscriber;8
61;Robert;Pronobis;pitulaborys@machon-jarczak.com;+48 668 495 335;Warszawa;00-001;ulica Żurawia 98;Subscriber;7
62;Adrian;Potoczek;patryk80@fundacja.org;694 256 136;Lublin;20-001;pl. Sadowa 594;New;3
63;Roksana;Malara;frukaczryszard@gabinety.pl;570 974 235;Lublin;20-001;ul. Spacerowa 951;Subscriber;3
64;Natan;Gronostaj;wojakdariusz@interia.pl;+48 788 713 199;Lublin;20-001;pl. Żabia 22;New;3
65;Urszula;Walocha;tomaszbylina@ppuh.org;+48 535 883 664;Jelenia Góra;58-500;ul. Słoneczna 68;Subscriber;1
66;Gustaw;Kobak;urygacezary@interia.pl;+48 573 351 921;Elbląg;82-300;plac Rzemieślnicza 530;Subscriber;14
67;Oliwier;Przewoźniak;iwo57@grupa.pl;32 811 45 80;Suwałki;16-402;ulica Szkolna 16;Subscriber;10
68;Tadeusz;Majnusz;bmalcherek@onet.pl;532 521 734;Suwałki;16-402;plac Żeglarska 13;New;10
69;Wiktor;Piotrkowicz;jan22@hotmail.com;537 854 292;Wrocław;50-001;plac Dojazdowa 859;New;1
70;Gabriel;Dylak;ewasiewicz@stowarzyszenie.com;+48 695 624 383;Opole;45-001;al. Rzemieślnicza 544;New;8
71;Anna;Żyto;patrykdmoch@hotmail.com;+48 502 919 249;Świnoujście;72-600;al. Krokusowa 45/55;New;16
72;Artur;Grabara;ihadala@fundacja.pl;+48 726 602 715;Nowa Sól;67-100;pl. Widokowa 06/04;New;4
73;Angelika;Graban;blazejpawelko@gmail.com;724 898 834;Lublin;20-001;aleja Bema 660;Subscriber;3
74;Konrad;Chromy;ybluszcz@grupa.net;+48 784 573 444;Włocławek;87-800;al. Cisowa 04;Subscriber;2
75;Sonia;Trawka;marcel68@fundacja.com;+48 22 466 67 09;Szczecin;70-001;pl. Krańcowa 53;Subscriber;16
76;Gustaw;Rembacz;szymkowmichal@hotmail.com;735 103 900;Starachowice;27-200;aleja Reymonta 29/07;Subscriber;13
77;Juliusz;Słaba;maks65@fpuh.pl;32 161 18 01;Olsztyn;10-001;pl. Górnicza 82/45;New;14
78;Malwina;Stępka;alex83@yahoo.com;+48 662 033 699;Kielce;25-001;ul. Szczęśliwa 357;New;13
79;Bianka;Sasak;aurelia35@przystupa.com;32 188 47 57;Kraków;30-001;ul. Widok 010;New;6
80;Ada;Sładek;anna-mariaszygula@zbroszczyk-kolsut.pl;721 343 830;Radom;26-601;pl. Niecała 769;New;7
81;Kornel;Łudzik;msolnica@wendt.com;+48 667 046 737;Tarnów;33-100;al. Słoneczna 87/29;Subscriber;6
82;Albert;Fuławka;poredanatasza@gmail.com;+48 725 529 724;Sopot;81-701;plac Malinowa 85;Subscriber;11
83;Marcin;Kornek;melaniasprycha@interia.pl;+48 722 299 209;Lublin;20-001;ul. Jarzębinowa 36;Subscriber;3
84;Miłosz;Rymarz;kazimierzwichlacz@gmail.com;+48 693 145 265;Suwałki;16-402;al. Tęczowa 83/70;New;10
85;Dariusz;Gromala;sonia30@fpuh.org;504 990 947;Opole;45-001;ul. Harcerska 32;Subscriber;8
86;Franciszek;Drożdżal;ploskonkagustaw@yahoo.com;+48 535 251 493;Tarnów;33-100;aleja Gajowa 53;Subscriber;6
87;Natan;Forysiak;krystynazabka@grupa.pl;32 276 80 92;Nysa;48-267;ulica Szmaragdowa 73/06;Subscriber;8
88;Kamil;Zuziak;gronkiewiczaleks@o2.pl;+48 889 831 235;Radom;26-601;al. Słowicza 01;New;7
89;Sebastian;Karalus;pjenek@dziuban.pl;789 313 765;Poznań;60-001;pl. Wojciecha 355;Subscriber;15
